project, size, inversion-ratio, thr  eads, run, time, instructions, cycles, context-switches, cache-misses, L1-dcache-load-misses, stalled-cycles-frontend, stalled-cycles-backend
C, 64, 75, 2, 7, .39, 2203523, 4257597, 2, 28244, 41731, 1110101, 1741273
C, 64, 75, 2, 8, .38, 2194465, 4408082, 2, 28223, 41722, 1142343, 1682309
C, 64, 75, 4, 1, 1.07, 2614988, 5286017, 11, 35308, 46649, 1344939, 1945378
C, 64, 75, 4, 2, .92, 2501166, 5101582, 8, 35792, 45487, 1330974, 2015173
C, 64, 75, 4, 3, .96, 2495208, 5127281, 8, 35395, 46890, 1313188, 1911894
C, 64, 75, 4, 4, 1.03, 2545462, 5149710, 11, 35639, 45980, 1319753, 1933130
C, 64, 75, 4, 5, .99, 2510344, 5079888, 6, 35309, 46158, 1358648, 1897048
C, 64, 75, 4, 6, 1.02, 2546827, 5230251, 7, 36151, 45182, 1362361, 2070932
C, 64, 75, 4, 7, .99, 2537549, 5197192, 5, 35338, 46099, 1331031, 1921772
C, 64, 75, 4, 8, 1.00, 2530199, 5117038, 5, 36682, 46799, 1567716, 1963339
C, 64, 75, 8, 1, 2.59, 3233503, 7678241, 32, 53043, 58814, 1920699, 3014898
C, 64, 75, 8, 2, 2.73, 3479890, 7782977, 35, 55839, 60172, 1882949, 2769660
C, 64, 75, 8, 3, 2.64, 3505907, 7606782, 28, 54790, 58581, 1890026, 2902157
C, 64, 75, 8, 4, 2.59, 3235502, 7789447, 27, 58250, 60196, 1827487, 3141100
C, 64, 75, 8, 5, 2.79, 3516966, 7937761, 46, 57651, 58819, 1911822, 2661167
C, 64, 75, 8, 6, 2.57, 3669628, 7715868, 33, 53028, 59952, 1863141, 2690840
C, 64, 75, 8, 7, 2.50, 3417584, 7675929, 34, 54437, 58063, 1953048, 2859241
C, 64, 75, 8, 8, 2.61, 3441276, 7400864, 32, 52981, 57774, 1897393, 2970698
C, 64, 75, 16, 1, 5.22, 5471810, 12718798, 96, 79962, 80796, 3067819, 4612009
C, 64, 75, 16, 2, 5.75, 5465685, 12080321, 104, 83858, 84238, 3019896, 4927745
C, 64, 75, 16, 3, 5.55, 5378729, 12160259, 91, 87037, 81167, 3118226, 4492509
C, 64, 75, 16, 4, 5.30, 5715391, 12295072, 112, 78718, 80643, 3241368, 5028173
C, 64, 75, 16, 5, 5.82, 4818566, 14518481, 113, 86959, 84250, 2795787, 4597527
C, 64, 75, 16, 6, 5.65, 6065609, 13293035, 99, 77235, 87278, 2929083, 4747359
C, 64, 75, 16, 7, 5.25, 5162408, 11358833, 96, 80961, 86579, 2868379, 4951120
C, 64, 75, 16, 8, 5.46, 5155172, 12773971, 96, 86170, 80869, 2996910, 4212952
C, 64, 75, 32, 1, 10.56, 9985615, 24221131, 239, 128820, 133057, 5902493, 8986966
C, 64, 75, 32, 2, 10.85, 9533470, 22877345, 216, 126075, 138339, 5770644, 8480618
C, 64, 75, 32, 3, 10.43, 11135878, 24769878, 206, 137042, 138248, 6013189, 8658130
C, 64, 75, 32, 4, 10.45, 10773768, 23805937, 217, 123906, 135868, 6619993, 8796683
C, 64, 75, 32, 5, 10.57, 10921253, 25044306, 227, 147384, 133158, 6069220, 8587827
C, 64, 75, 32, 6, 11.36, 9694944, 24916768, 222, 146113, 130601, 5675845, 9326928
C, 64, 75, 32, 7, 10.77, 9702634, 25632592, 210, 128490, 141890, 6141362, 9501516
C, 64, 75, 32, 8, 10.87, 10097668, 26276415, 231, 139381, 135866, 6052430, 9160594
